Size:56961, Duration(usec):321943
Size:48602, Duration(usec):114267
Size:152517, Duration(usec):747696
Size:48742, Duration(usec):77492
Size:73841, Duration(usec):378689
Size:436987, Duration(usec):2681319
Size:749494, Duration(usec):4424182
Size:21630, Duration(usec):41828
Size:2512219, Duration(usec):17055634
Size:1896962, Duration(usec):12139280
Size:28432, Duration(usec):64095
Size:10478, Duration(usec):15651658
Size:1861328, Duration(usec):12992790
Size:55554, Duration(usec):371785
Size:21740, Duration(usec):151816
Size:4718048, Duration(usec):31215866
Size:592599, Duration(usec):11708792
Size:11302, Duration(usec):3131830
Size:1553795, Duration(usec):9576575
Size:74, Duration(usec):113251
Size:4902, Duration(usec):259077
Size:3781362, Duration(usec):25114030
Size:4165940, Duration(usec):27033374
Size:223952, Duration(usec):18211098
Size:21497, Duration(usec):18028407
Size:595692, Duration(usec):3810455
Size:535871, Duration(usec):25316680
Size:17730939, Duration(usec):118024681
Size:8851364, Duration(usec):76576196
Size:3898, Duration(usec):24931
Size:4822459, Duration(usec):31466051
Size:527077, Duration(usec):3363360
Size:5576341, Duration(usec):35892020
Size:6303, Duration(usec):28813733
Size:17252, Duration(usec):50948
Size:29109, Duration(usec):121787
Size:55982, Duration(usec):109976
Size:25861, Duration(usec):106901247
Size:62129, Duration(usec):2758162
Size:20467, Duration(usec):28093486
Size:37434, Duration(usec):20382685
Size:43493, Duration(usec):100590128
Size:42906, Duration(usec):62369454
Size:2350160, Duration(usec):14846729
Size:29660, Duration(usec):99580411
Size:24263, Duration(usec):3393170
Size:16241, Duration(usec):99400346
Size:4896, Duration(usec):46402
Size:47151, Duration(usec):167968
Size:2533, Duration(usec):95342739
