Size:56961, Duration(usec):335935
Size:48602, Duration(usec):268810
Size:152517, Duration(usec):944723
Size:48742, Duration(usec):273851
Size:73841, Duration(usec):437488
Size:436987, Duration(usec):2806239
Size:749494, Duration(usec):4794213
Size:21630, Duration(usec):91380
Size:2512219, Duration(usec):16651152
Size:1896962, Duration(usec):12325847
Size:28432, Duration(usec):135133
Size:10478, Duration(usec):15830515
Size:1861328, Duration(usec):13040622
Size:55554, Duration(usec):308838
Size:21740, Duration(usec):132277
Size:4718048, Duration(usec):30840183
Size:592599, Duration(usec):15010609
Size:11302, Duration(usec):6618153
Size:1553795, Duration(usec):10621104
Size:74, Duration(usec):26540
Size:4902, Duration(usec):6198688
Size:3781362, Duration(usec):25777576
Size:4165940, Duration(usec):27281513
Size:223952, Duration(usec):23363381
Size:21497, Duration(usec):23191191
Size:595692, Duration(usec):3942901
Size:535871, Duration(usec):27022722
Size:17730939, Duration(usec):122018925
Size:8851364, Duration(usec):81639650
Size:3898, Duration(usec):23290
Size:4822459, Duration(usec):32088972
Size:527077, Duration(usec):3649538
Size:5576341, Duration(usec):37483524
Size:6303, Duration(usec):30449721
Size:17252, Duration(usec):1762107
Size:29109, Duration(usec):160586
Size:55982, Duration(usec):771771
Size:25861, Duration(usec):115074707
Size:62129, Duration(usec):13975967
Size:20467, Duration(usec):32608106
Size:37434, Duration(usec):25151691
Size:43493, Duration(usec):110844087
Size:42906, Duration(usec):72865382
Size:2350160, Duration(usec):25697067
Size:29660, Duration(usec):110221631
Size:24263, Duration(usec):12590792
Size:16241, Duration(usec):109936578
Size:4896, Duration(usec):54340
Size:47151, Duration(usec):310526
Size:2533, Duration(usec):107395531
