Size:56961, Duration(usec):192302
Size:48602, Duration(usec):179060
Size:152517, Duration(usec):704726
Size:48742, Duration(usec):126416
Size:73841, Duration(usec):313626
Size:436987, Duration(usec):2773474
Size:749494, Duration(usec):5650982
Size:21630, Duration(usec):80146
Size:2512219, Duration(usec):16521997
Size:1896962, Duration(usec):12096940
Size:28432, Duration(usec):50144
Size:10478, Duration(usec):15111711
Size:1861328, Duration(usec):12598317
Size:55554, Duration(usec):378890
Size:21740, Duration(usec):28244
Size:4718048, Duration(usec):32159708
Size:592599, Duration(usec):12004961
Size:11302, Duration(usec):3128017
Size:1553795, Duration(usec):9850460
Size:74, Duration(usec):36895
Size:4902, Duration(usec):503293
Size:3781362, Duration(usec):24593897
Size:4165940, Duration(usec):27177766
Size:223952, Duration(usec):18902855
Size:21497, Duration(usec):18726550
Size:595692, Duration(usec):3607424
Size:535871, Duration(usec):24927210
Size:17730939, Duration(usec):116050575
Size:8851364, Duration(usec):75763156
Size:3898, Duration(usec):27128
Size:4822459, Duration(usec):32343025
Size:527077, Duration(usec):3051507
Size:5576341, Duration(usec):36037706
Size:6303, Duration(usec):29716333
Size:17252, Duration(usec):59465
Size:29109, Duration(usec):54670
Size:55982, Duration(usec):216313
Size:25861, Duration(usec):104956358
Size:62129, Duration(usec):3180785
Size:20467, Duration(usec):29062031
Size:37434, Duration(usec):21542198
Size:43493, Duration(usec):98561834
Size:42906, Duration(usec):61670374
Size:2350160, Duration(usec):15539773
Size:29660, Duration(usec):97581417
Size:24263, Duration(usec):3618688
Size:16241, Duration(usec):97292806
Size:4896, Duration(usec):22359
Size:47151, Duration(usec):59876
Size:2533, Duration(usec):93233514
