Size:56961, Duration(usec):84831
Size:48602, Duration(usec):50350
Size:152517, Duration(usec):561900
Size:48742, Duration(usec):80241
Size:73841, Duration(usec):116278
Size:436987, Duration(usec):2793737
Size:749494, Duration(usec):4792917
Size:21630, Duration(usec):109661
Size:2512219, Duration(usec):12855321
Size:1896962, Duration(usec):12932435
Size:28432, Duration(usec):243636
Size:10478, Duration(usec):11855522
Size:1861328, Duration(usec):13102513
Size:55554, Duration(usec):462934
Size:21740, Duration(usec):101623
Size:4718048, Duration(usec):31349385
Size:592599, Duration(usec):13825728
Size:11302, Duration(usec):6425976
Size:1553795, Duration(usec):11105642
Size:74, Duration(usec):227503
Size:4902, Duration(usec):838108
Size:3781362, Duration(usec):25174126
Size:4165940, Duration(usec):27374418
Size:223952, Duration(usec):22616016
Size:21497, Duration(usec):22438807
Size:595692, Duration(usec):3713733
Size:535871, Duration(usec):26448374
Size:17730939, Duration(usec):118847183
Size:8851364, Duration(usec):80654282
Size:3898, Duration(usec):510793
Size:4822459, Duration(usec):30578407
Size:527077, Duration(usec):3789104
Size:5576341, Duration(usec):36409694
Size:6303, Duration(usec):28709402
Size:17252, Duration(usec):1381998
Size:29109, Duration(usec):82433
Size:55982, Duration(usec):178913
Size:25861, Duration(usec):111022598
Size:62129, Duration(usec):11688414
Size:20467, Duration(usec):30842397
Size:37434, Duration(usec):22781947
Size:43493, Duration(usec):106288666
Size:42906, Duration(usec):70488155
Size:2350160, Duration(usec):22083179
Size:29660, Duration(usec):105574064
Size:24263, Duration(usec):10480802
Size:16241, Duration(usec):105337384
Size:4896, Duration(usec):28300
Size:47151, Duration(usec):65193
Size:2533, Duration(usec):102433296
