Size:56961, Duration(usec):738517
Size:48602, Duration(usec):537659
Size:152517, Duration(usec):2174429
Size:48742, Duration(usec):493429
Size:73841, Duration(usec):1449278
Size:436987, Duration(usec):878367
Size:749494, Duration(usec):7753418
Size:21630, Duration(usec):258822
Size:2512219, Duration(usec):18953391
Size:1896962, Duration(usec):25096029
Size:28432, Duration(usec):177806
Size:10478, Duration(usec):16611821
Size:1861328, Duration(usec):16576275
Size:55554, Duration(usec):122406
Size:21740, Duration(usec):38511
Size:4718048, Duration(usec):78043258
Size:592599, Duration(usec):11708798
Size:11302, Duration(usec):9826690
Size:1553795, Duration(usec):23556873
Size:74, Duration(usec):14717
Size:4902, Duration(usec):51712
Size:3781362, Duration(usec):30438429
Size:4165940, Duration(usec):13825159
Size:223952, Duration(usec):58565347
Size:21497, Duration(usec):58165163
Size:595692, Duration(usec):21552266
Size:535871, Duration(usec):29519175
Size:17730939, Duration(usec):168716404
Size:8851364, Duration(usec):91423362
Size:3898, Duration(usec):84219
Size:4822459, Duration(usec):31535848
Size:527077, Duration(usec):11078620
Size:5576341, Duration(usec):86744379
Size:6303, Duration(usec):27104093
Size:17252, Duration(usec):5668004
Size:29109, Duration(usec):1424744
Size:55982, Duration(usec):4943195
Size:25861, Duration(usec):150230104
Size:62129, Duration(usec):33233464
Size:20467, Duration(usec):73711319
Size:37434, Duration(usec):12872607
Size:43493, Duration(usec):139023771
Size:42906, Duration(usec):67684382
Size:2350160, Duration(usec):47896551
Size:29660, Duration(usec):137315400
Size:24263, Duration(usec):41056
Size:16241, Duration(usec):136542873
Size:4896, Duration(usec):338519
Size:47151, Duration(usec):2536412
Size:2533, Duration(usec):129801105
