Size:56961, Duration(usec):995343
Size:48602, Duration(usec):602148
Size:152517, Duration(usec):2096395
Size:48742, Duration(usec):366604
Size:73841, Duration(usec):1321270
Size:436987, Duration(usec):3894685
Size:749494, Duration(usec):10305169
Size:21630, Duration(usec):151354
Size:2512219, Duration(usec):30517814
Size:1896962, Duration(usec):20467945
Size:28432, Duration(usec):200486
Size:10478, Duration(usec):30125903
Size:1861328, Duration(usec):19152937
Size:55554, Duration(usec):2715854
Size:21740, Duration(usec):2599656
Size:4718048, Duration(usec):43009253
Size:592599, Duration(usec):24201367
Size:11302, Duration(usec):17920701
Size:1553795, Duration(usec):7064773
Size:74, Duration(usec):380797
Size:4902, Duration(usec):25953096
Size:3781362, Duration(usec):41219045
Size:4165940, Duration(usec):37731614
Size:223952, Duration(usec):40867447
Size:21497, Duration(usec):40915168
Size:595692, Duration(usec):19169045
Size:535871, Duration(usec):45305481
Size:17730939, Duration(usec):166692261
Size:8851364, Duration(usec):115245874
Size:3898, Duration(usec):2006273
Size:4822459, Duration(usec):60537753
Size:527077, Duration(usec):7848900
Size:5576341, Duration(usec):25746327
Size:6303, Duration(usec):59848769
Size:17252, Duration(usec):7123182
Size:29109, Duration(usec):15703438
Size:55982, Duration(usec):6842631
Size:25861, Duration(usec):163707393
Size:62129, Duration(usec):37029002
Size:20467, Duration(usec):23613468
Size:37434, Duration(usec):57565260
Size:43493, Duration(usec):162139133
Size:42906, Duration(usec):111326307
Size:2350160, Duration(usec):52706335
Size:29660, Duration(usec):161901544
Size:24263, Duration(usec):31169180
Size:16241, Duration(usec):161877409
Size:4896, Duration(usec):4125387
Size:47151, Duration(usec):4286312
Size:2533, Duration(usec):160747930
