Size:56961, Duration(usec):1216105
Size:48602, Duration(usec):4058681
Size:152517, Duration(usec):5691594
Size:48742, Duration(usec):2911233
Size:73841, Duration(usec):2436408
Size:436987, Duration(usec):56391528
Size:749494, Duration(usec):9060803
Size:21630, Duration(usec):61849
Size:2512219, Duration(usec):20953043
Size:1896962, Duration(usec):35891581
Size:28432, Duration(usec):231801
Size:10478, Duration(usec):14006325
Size:1861328, Duration(usec):37053662
Size:55554, Duration(usec):29527612
Size:21740, Duration(usec):26872630
Size:4718048, Duration(usec):88211021
Size:592599, Duration(usec):18627315
Size:11302, Duration(usec):706540
Size:1553795, Duration(usec):24584278
Size:74, Duration(usec):159875
Size:4902, Duration(usec):49660
Size:3781362, Duration(usec):64564256
Size:4165940, Duration(usec):570350078
Size:223952, Duration(usec):18053459
Size:21497, Duration(usec):16907856
Size:595692, Duration(usec):9173204
Size:535871, Duration(usec):14924440
Size:17730939, Duration(usec):559019150
Size:8851364, Duration(usec):241684200
Size:3898, Duration(usec):388539
Size:4822459, Duration(usec):25429048
Size:527077, Duration(usec):48811673
Size:5576341, Duration(usec):676095549
Size:6303, Duration(usec):900416
Size:17252, Duration(usec):34020111
Size:29109, Duration(usec):350581
Size:55982, Duration(usec):10119226
Size:25861, Duration(usec):168430
Size:62129, Duration(usec):5402698
Size:20467, Duration(usec):636965977
Size:37434, Duration(usec):158267
Size:43493, Duration(usec):469297548
Size:42906, Duration(usec):170629634
Size:2350160, Duration(usec):115619054
Size:29660, Duration(usec):22717999
Size:24263, Duration(usec):451291050
Size:16241, Duration(usec):20327107
Size:4896, Duration(usec):39604738
Size:47151, Duration(usec):148304888
Size:2533, Duration(usec):2544230
