Size:56961, Duration(usec):1248265
Size:48602, Duration(usec):855785
Size:152517, Duration(usec):7902525
Size:48742, Duration(usec):942226
Size:73841, Duration(usec):3298244
Size:436987, Duration(usec):3262544
Size:749494, Duration(usec):14436272
Size:21630, Duration(usec):110427
Size:2512219, Duration(usec):47359552
Size:1896962, Duration(usec):38855749
Size:28432, Duration(usec):579602
Size:10478, Duration(usec):40419080
Size:1861328, Duration(usec):31735398
Size:55554, Duration(usec):141435
Size:21740, Duration(usec):65229
Size:4718048, Duration(usec):85161280
Size:592599, Duration(usec):16265892
Size:11302, Duration(usec):228945
Size:1553795, Duration(usec):18372646
Size:74, Duration(usec):118443
Size:4902, Duration(usec):53342
Size:3781362, Duration(usec):69907740
Size:4165940, Duration(usec):69056252
Size:223952, Duration(usec):1098260
Size:21497, Duration(usec):258797
Size:595692, Duration(usec):9787456
Size:535871, Duration(usec):18246039
Size:17730939, Duration(usec):397393364
Size:8851364, Duration(usec):695059824
Size:3898, Duration(usec):852553
Size:4822459, Duration(usec):310055348
Size:527077, Duration(usec):42161100
Size:5576341, Duration(usec):407940616
Size:6303, Duration(usec):1359791
Size:17252, Duration(usec):26426211
Size:29109, Duration(usec):176386
Size:55982, Duration(usec):5936092
Size:25861, Duration(usec):1067323
Size:62129, Duration(usec):142641
Size:20467, Duration(usec):368768156
Size:37434, Duration(usec):253833473
Size:43493, Duration(usec):308147063
Size:42906, Duration(usec):623479671
Size:2350160, Duration(usec):99039560
Size:29660, Duration(usec):158081921
Size:24263, Duration(usec):82672583
Size:16241, Duration(usec):155705958
Size:4896, Duration(usec):35131021
Size:47151, Duration(usec):109635950
Size:2533, Duration(usec):135379054
