Size:33, Duration(usec):215811
Size:132, Duration(usec):240185
Size:11, Duration(usec):1375867
Size:332, Duration(usec):253572
Size:11, Duration(usec):227251
Size:158, Duration(usec):262154
Size:309, Duration(usec):1402481
Size:211, Duration(usec):770811
Size:1, Duration(usec):737641
Size:3, Duration(usec):773685
Size:12, Duration(usec):197864
Size:244, Duration(usec):208795
Size:3, Duration(usec):273246
Size:12, Duration(usec):762411
Size:342, Duration(usec):270741
Size:116, Duration(usec):278229
Size:11, Duration(usec):284913
Size:157, Duration(usec):1480358
Size:144, Duration(usec):289449
Size:3, Duration(usec):306824
Size:104, Duration(usec):784303
Size:2, Duration(usec):302779
Size:2, Duration(usec):777124
Size:322, Duration(usec):254901
Size:949, Duration(usec):322446
Size:2, Duration(usec):800163
Size:3, Duration(usec):303528
Size:166, Duration(usec):1497476
Size:57, Duration(usec):773373
Size:11, Duration(usec):810322
Size:80, Duration(usec):826257
Size:1, Duration(usec):772420
Size:1, Duration(usec):772323
Size:11, Duration(usec):840416
Size:2, Duration(usec):347199
Size:180, Duration(usec):771858
Size:2, Duration(usec):1571076
Size:3462, Duration(usec):4535336
Size:1, Duration(usec):1449600
Size:95, Duration(usec):1988525
Size:2, Duration(usec):3067029
Size:256, Duration(usec):1996648
Size:50, Duration(usec):1451080
Size:1, Duration(usec):2412128
Size:13, Duration(usec):3073251
Size:302, Duration(usec):4162048
Size:146, Duration(usec):4533659
Size:302, Duration(usec):3086479
Size:603, Duration(usec):4533200
Size:31, Duration(usec):4533020
Size:244, Duration(usec):1449552
Size:1, Duration(usec):4173963
Size:187, Duration(usec):2422866
Size:2, Duration(usec):1446775
Size:3377, Duration(usec):14175376
Size:226, Duration(usec):4531930
Size:168, Duration(usec):14188049
Size:306, Duration(usec):1999192
Size:122, Duration(usec):1445739
Size:2, Duration(usec):1910537
Size:277, Duration(usec):14202793
Size:2, Duration(usec):2432875
Size:1, Duration(usec):3437152
Size:69, Duration(usec):3436869
Size:71, Duration(usec):3436680
Size:161, Duration(usec):4529699
Size:3, Duration(usec):988294
Size:11, Duration(usec):9062271
Size:325, Duration(usec):3793642
Size:190, Duration(usec):14200915
Size:1, Duration(usec):9061754
Size:1, Duration(usec):4528798
Size:138, Duration(usec):3419641
Size:207, Duration(usec):3620436
Size:125, Duration(usec):4528204
Size:118, Duration(usec):9711533
Size:104, Duration(usec):14199829
Size:1256, Duration(usec):14199760
